Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-06-14,89,1495.7840035752986,4182.230812873293,25.0,25,0.48886208605949555,1.2546673861325381,0.2612250277686477,6902,,,,,4933102,,
2023-06-15,99,1470.5261221167336,4191.983849159786,17.0,17,0.4300837058982504,1.6461132156084597,0.26220726450552556,6898,,,,,4268656,,
2023-06-16,53,1406.7248494193934,2666.9685338919458,14.0,14,0.5619596774043265,1.4753623660394322,0.2612250277686477,4412,,,,,2596624,,
2023-06-17,2,1307.7499927282333,129.00497525190139,,,0.3165410623735297,0.34494835544219,0.30141347428874654,360,,,,,,,
2023-06-18,4,1307.7499927282336,169.6017570500116,,,0.34942186376270656,0.8747025341481294,0.2612250277686477,383,,,,,,,
2023-06-19,3,1324.7046417496579,141.0418918595159,,,0.395354111994974,1.581693098439829,0.29827002068939495,341,,,,,444808,,
2023-06-20,77,1467.2232551847796,3293.5432988003668,12.0,12,0.47237893780153983,1.6807310851069839,0.2511779113160074,5563,,,,,4183807,,
2023-06-21,15,1345.1458439321675,631.2864585950321,,,0.44295658089921996,1.1557419056009333,0.2632432134758831,1222,,,,,981087,,
2023-06-22,57,1369.1019763167205,2026.7245295447487,1.0,1,0.5791891783203815,1.403680534954581,0.2612250277686477,3525,,,,,1609580,,
2023-06-23,63,1437.408960186991,2138.045901493131,20.0,20,0.4426091403836744,1.2056057076871123,0.271272144221288,3587,,,,853184,2485703,,
2023-06-24,73,1448.1163745869376,3402.4555885632726,21.0,21,0.558995246524428,1.3403812440252971,0.28784371062114295,5497,,,,,3682534,,
2023-06-25,24,1348.6688299615682,976.9221172175658,,,0.36090555732114515,1.118778805550509,0.2612250277686477,1772,,,,,1073513,,
2023-06-26,71,1456.340174906974,3593.612840965797,12.0,12,0.6408240162067897,1.4254532248322904,0.2511779113160074,5883,,,,,3898287,,
2023-06-27,46,1394.5147495746871,2195.069798230779,8.0,8,0.5972924084648732,1.3937179235639299,0.2612250277686477,3555,,,,,2276287,,
2023-06-28,30,1371.4085413419693,1355.1452048718227,4.0,4,0.3383485606228729,1.2000258171162717,0.3014134643828344,2371,,,,,1670092,,
2023-06-29,10,1319.3911251645886,448.6572633398856,,,0.627334697350511,1.5476573537632943,0.2612250277686477,767,,,,,305407,,
2023-06-30,45,1359.3062278846608,1545.8100552333701,2.0,2,0.35587496240376826,1.173606414937507,0.25405722598062763,2759,,,,,1352588,,
2023-07-01,26,1338.9295110785379,913.3317377711169,,,0.39352570785256574,1.229918081820706,0.30141348228723064,1707,,,,,818000,,
2023-07-02,15,1314.0557038907962,520.3198459907576,,,0.47536792160101454,1.2775710973425551,0.30141346785859296,904,,,,,165431,,
2023-07-03,55,1418.706972127707,2606.936949057604,6.0,6,0.5343687611287099,1.2774217464532234,0.2612250277686477,4347,,,,,2910975,,
2023-07-04,5,1310.349023714116,185.06788505763424,,,0.5277740389538668,0.7015892002343794,0.3014134764321311,360,,,,,68186,,
2023-07-05,43,1388.5229933376208,1877.3446888322007,2.0,2,0.4513692771582065,1.5041744312447394,0.2511779113160074,3123,,,,,2119092,,
2023-07-06,68,1441.230148893564,2405.3669341516124,,,0.5583246115123517,1.1864605512868052,0.2612250277686477,4309,,,,,3501872,,
2023-07-07,50,1393.4392387110734,2020.885436722008,5.0,5,0.4078841854092282,1.4687536749359043,0.271272144221288,3539,,,,,2248072,,
